,0
0,"tensor(0., grad_fn=<UnbindBackward>)"
1,"tensor(0.0097, grad_fn=<UnbindBackward>)"
2,"tensor(0.0243, grad_fn=<UnbindBackward>)"
3,"tensor(0.0097, grad_fn=<UnbindBackward>)"
4,"tensor(0.0091, grad_fn=<UnbindBackward>)"
5,"tensor(0.0363, grad_fn=<UnbindBackward>)"
6,"tensor(0.0354, grad_fn=<UnbindBackward>)"
7,"tensor(0.0205, grad_fn=<UnbindBackward>)"
8,"tensor(0.0082, grad_fn=<UnbindBackward>)"
9,"tensor(0., grad_fn=<UnbindBackward>)"
10,"tensor(0., grad_fn=<UnbindBackward>)"
11,"tensor(0.0058, grad_fn=<UnbindBackward>)"
12,"tensor(0.0146, grad_fn=<UnbindBackward>)"
13,"tensor(0.0058, grad_fn=<UnbindBackward>)"
14,"tensor(0.0054, grad_fn=<UnbindBackward>)"
15,"tensor(0.0218, grad_fn=<UnbindBackward>)"
16,"tensor(0.0256, grad_fn=<UnbindBackward>)"
17,"tensor(0.0231, grad_fn=<UnbindBackward>)"
18,"tensor(0.0200, grad_fn=<UnbindBackward>)"
19,"tensor(0.0180, grad_fn=<UnbindBackward>)"
20,"tensor(0., grad_fn=<UnbindBackward>)"
21,"tensor(0., grad_fn=<UnbindBackward>)"
22,"tensor(0., grad_fn=<UnbindBackward>)"
23,"tensor(0., grad_fn=<UnbindBackward>)"
24,"tensor(0., grad_fn=<UnbindBackward>)"
25,"tensor(0., grad_fn=<UnbindBackward>)"
26,"tensor(0.0107, grad_fn=<UnbindBackward>)"
27,"tensor(0.0268, grad_fn=<UnbindBackward>)"
28,"tensor(0.0377, grad_fn=<UnbindBackward>)"
29,"tensor(0.0450, grad_fn=<UnbindBackward>)"
30,"tensor(0.0175, grad_fn=<UnbindBackward>)"
31,"tensor(0.0105, grad_fn=<UnbindBackward>)"
32,"tensor(0., grad_fn=<UnbindBackward>)"
33,"tensor(0.0007, grad_fn=<UnbindBackward>)"
34,"tensor(0.0223, grad_fn=<UnbindBackward>)"
35,"tensor(0.0855, grad_fn=<UnbindBackward>)"
36,"tensor(0.0715, grad_fn=<UnbindBackward>)"
37,"tensor(0.0188, grad_fn=<UnbindBackward>)"
38,"tensor(0.0272, grad_fn=<UnbindBackward>)"
39,"tensor(0.0327, grad_fn=<UnbindBackward>)"
40,"tensor(0.0268, grad_fn=<UnbindBackward>)"
41,"tensor(0.0161, grad_fn=<UnbindBackward>)"
42,"tensor(0.0001, grad_fn=<UnbindBackward>)"
43,"tensor(0.0010, grad_fn=<UnbindBackward>)"
44,"tensor(0.0297, grad_fn=<UnbindBackward>)"
45,"tensor(0.1140, grad_fn=<UnbindBackward>)"
46,"tensor(0.0896, grad_fn=<UnbindBackward>)"
47,"tensor(0.0108, grad_fn=<UnbindBackward>)"
48,"tensor(0.1361, grad_fn=<UnbindBackward>)"
49,"tensor(0.2196, grad_fn=<UnbindBackward>)"
50,"tensor(0.0197, grad_fn=<UnbindBackward>)"
51,"tensor(0.0120, grad_fn=<UnbindBackward>)"
52,"tensor(0.0005, grad_fn=<UnbindBackward>)"
53,"tensor(0.0005, grad_fn=<UnbindBackward>)"
54,"tensor(0.0076, grad_fn=<UnbindBackward>)"
55,"tensor(0.0285, grad_fn=<UnbindBackward>)"
56,"tensor(0.0224, grad_fn=<UnbindBackward>)"
57,"tensor(0.0027, grad_fn=<UnbindBackward>)"
58,"tensor(0.4840, grad_fn=<UnbindBackward>)"
59,"tensor(0.8049, grad_fn=<UnbindBackward>)"
60,"tensor(0.0104, grad_fn=<UnbindBackward>)"
61,"tensor(0.0102, grad_fn=<UnbindBackward>)"
62,"tensor(0.0100, grad_fn=<UnbindBackward>)"
63,"tensor(0.0073, grad_fn=<UnbindBackward>)"
64,"tensor(0.0065, grad_fn=<UnbindBackward>)"
65,"tensor(0.0091, grad_fn=<UnbindBackward>)"
66,"tensor(0.0060, grad_fn=<UnbindBackward>)"
67,"tensor(2.4781e-05, grad_fn=<UnbindBackward>)"
68,"tensor(0.3631, grad_fn=<UnbindBackward>)"
69,"tensor(0.6051, grad_fn=<UnbindBackward>)"
70,"tensor(0., grad_fn=<UnbindBackward>)"
71,"tensor(0.0096, grad_fn=<UnbindBackward>)"
72,"tensor(0.0240, grad_fn=<UnbindBackward>)"
73,"tensor(0.0178, grad_fn=<UnbindBackward>)"
74,"tensor(0.0159, grad_fn=<UnbindBackward>)"
75,"tensor(0.0227, grad_fn=<UnbindBackward>)"
76,"tensor(0.0150, grad_fn=<UnbindBackward>)"
77,"tensor(0., grad_fn=<UnbindBackward>)"
78,"tensor(0.0076, grad_fn=<UnbindBackward>)"
79,"tensor(0.0127, grad_fn=<UnbindBackward>)"
80,"tensor(0., grad_fn=<UnbindBackward>)"
81,"tensor(0.0038, grad_fn=<UnbindBackward>)"
82,"tensor(0.0096, grad_fn=<UnbindBackward>)"
83,"tensor(0.0071, grad_fn=<UnbindBackward>)"
84,"tensor(0.0064, grad_fn=<UnbindBackward>)"
85,"tensor(0.0091, grad_fn=<UnbindBackward>)"
86,"tensor(0.0060, grad_fn=<UnbindBackward>)"
87,"tensor(0., grad_fn=<UnbindBackward>)"
88,"tensor(0.0030, grad_fn=<UnbindBackward>)"
89,"tensor(0.0051, grad_fn=<UnbindBackward>)"
90,"tensor(0., grad_fn=<UnbindBackward>)"
91,"tensor(0., grad_fn=<UnbindBackward>)"
92,"tensor(0., grad_fn=<UnbindBackward>)"
93,"tensor(0., grad_fn=<UnbindBackward>)"
94,"tensor(0., grad_fn=<UnbindBackward>)"
95,"tensor(0., grad_fn=<UnbindBackward>)"
96,"tensor(0., grad_fn=<UnbindBackward>)"
97,"tensor(0., grad_fn=<UnbindBackward>)"
98,"tensor(0., grad_fn=<UnbindBackward>)"
99,"tensor(0., grad_fn=<UnbindBackward>)"
